Ode	Sentence	Text	A1	A2	A3	GS
1.10	49	Mercuri facunde nepos Atlantis qui feros cultus hominum recentum uoce formasti catus et decorae more palaestrae te canam magni Iouis et deorum nuntium curuae que lyrae parentem callidum quidquid placuit iocoso condere furto	positive	positive	positive	positive
1.10	50	te boues olim nisi reddidisses per dolum amotas puerum minaci uoce dum terret uiduus pharetra risit Apollo	mixed	mixed	mixed	mixed
1.10	51	quin et Atridas duce te superbos Ilio diues Priamus relicto Thessalos que ignis et iniqua Troiae castra fefellit	mixed	mixed	positive	mixed
1.10	52	tu pias laetis animas reponis sedibus uirga que leuem coerces aurea turbam superis deorum gratus et imis	positive	positive	positive	positive
2.13	260	ille et nefasto te posuit die quicumque primum et sacrilega manu produxit arbos in nepotum perniciem opprobrium que pagi illum et parentis crediderim sui fregisse ceruicem et penetralia sparsisse nocturno cruore hospitis ille uenena Colcha et quidquid usquam concipitur nefas tractauit agro qui statuit meo te triste lignum te caducum in domini caput inmerentis	negative	negative	negative	negative
2.13	261	quid quisque uitet numquam homini satis cautum <est> <cautum> est in horas	neutral	neutral	neutral	neutral
2.13	262	nauita Bosphorum Poenus perhorrescit neque ultra caeca timet aliunde fata miles sagittas et celerem fugam Parthi catenas Parthus et Italum robur sed inprouisa leti uis rapuit rapiet que gentis	negative	negative	negative	negative
2.13	263	quam paene furuae regna Proserpinae et iudicantem uidimus Aeacum sedes que discretas piorum et Aeoliis fidibus querentem Sappho puellis de popularibus et te sonantem plenius aureo Alcaee plectro dura nauis dura fugae mala dura belli	mixed	negative	negative	mixed
2.13	264	utrumque sacro digna silentio mirantur umbrae dicere sed magis pugnas et exactos tyrannos densum umeris bibit aure uolgus	positive	negative	negative	positive
2.13	265	quid mirum ubi illis carminibus stupens demittit atras belua centiceps auris et intorti capillis Eumenidum recreantur angues	mixed	negative	negative	mixed
2.13	266	quin et Prometheus et Pelopis parens dulci laborem decipitur sono nec curat Orion leones aut timidos agitare lyncas	positive	mixed	positive	positive
3.13	399	o fons Bandusiae splendidior uitro dulci digne mero non sine floribus cras donaberis haedo cui frons turgida cornibus primis et uenerem et proelia destinat frustra nam gelidos inficiet tibi rubro sanguine riuos lasciui suboles gregis	positive	mixed	mixed	mixed
3.13	400	te flagrantis atrox hora Caniculae nescit tangere tu frigus amabile fessis uomere tauris praebes et pecori uago	positive	mixed	positive	positive
3.13	401	fies nobilium tu quoque fontium me dicente cauis inpositam ilicem saxis unde loquaces lymphae desiliunt tuae	positive	positive	positive	positive
4.7	543	diffugere niues redeunt iam gramina campis arboribus que comae mutat terra uices et decrescentia ripas flumina praetereunt	positive	positive	neutral	positive
4.7	544	Gratia cum Nymphis geminis que sororibus audet ducere nuda choros	positive	positive	neutral	positive
4.7	545	inmortalia ne speres monet annus et almum quae rapit hora diem	negative	mixed	positive	negative
4.7	546	frigora mitescunt Zephyris uer proterit aestas interitura simul pomifer autumnus fruges effuderit et mox bruma recurrit iners	mixed	mixed	negative	mixed
4.7	547	damna tamen celeres reparant caelestia lunae nos ubi decidimus quo pius Aeneas quo diues Tullus et Ancus puluis et umbra sumus	negative	negative	negative	negative
4.7	548	quis scit an adiciant hodiernae crastina summae tempora di superi	negative	negative	negative	negative
4.7	549	cuncta manus auidas fugient heredis amico quae dederis animo	mixed	negative	negative	negative
4.7	550	cum semel occideris et de te splendida Minos fecerit arbitria non Torquate genus non te facundia non te restituet pietas	negative	negative	negative	negative
4.7	551	infernis neque enim tenebris Diana pudicum liberat Hippolytum nec Lethaea ualet Theseus abrumpere caro uincula Pirithoo	negative	negative	negative	negative
